num_feat1,num_feat2,num_feat3,cat_feat1,cat_feat2,cat_feat3,num_feat4,num_feat5,Result
3,5.333333333333333,2,0,4,0,5,3,1
3,5.333333333333333,2,0,4,7,5,1,0
3,5.0,2,0,9,3,5,2,1
3,5.0,2,0,7,4,5,3,1
3,5.0,2,0,4,9,5,2,1
3,4.666666666666667,2,0,7,2,4,0,0
3,5.0,1,0,9,3,5,2,1
3,4.666666666666667,1,0,11,0,2,3,1
3,4.666666666666667,1,0,5,4,5,0,0
3,4.666666666666667,1,0,3,3,5,2,1
3,5.0,1,0,0,4,5,3,1
3,5.0,1,0,5,0,1,0,0
3,5.333333333333333,1,0,2,3,5,2,1
3,5.333333333333333,1,0,4,6,4,1,0
3,5.333333333333333,1,0,7,4,0,0,0
3,5.0,0,0,11,4,5,3,1
2,4.5,1,1,6,4,3,0,0
3,6.0,0,0,5,2,0,0,0
3,6.0,0,0,2,0,4,0,0
3,6.333333333333332,5,0,5,8,3,1,0
2,3.5,1,0,3,3,5,2,1
2,3.5,1,0,5,2,4,0,0
2,3.5,1,0,2,3,3,0,0
2,4.0,2,0,2,5,2,0,0
2,4.0,0,0,8,3,5,1,1
2,4.0,1,0,3,5,5,2,1
2,3.5,1,1,9,2,4,0,0
2,3.5,1,0,12,5,4,0,0
2,4.0,1,0,5,2,2,0,0
2,4.0,1,0,3,2,5,2,1
2,3.5,1,0,0,2,5,0,0
2,4.0,1,0,3,5,2,0,0
2,4.0,1,0,9,8,3,0,0
3,5.0,2,0,12,3,3,0,0
2,3.5,1,0,4,2,1,1,1
3,5.0,4,0,2,1,4,1,0
3,5.0,4,0,7,4,3,0,0
3,5.333333333333333,4,0,3,4,4,0,0
3,5.333333333333333,3,1,5,4,4,0,0
3,5.333333333333333,3,0,3,9,3,0,0
3,5.333333333333333,3,0,7,4,5,2,1
3,5.333333333333333,2,0,9,0,4,0,0
1,4.0,0,0,5,3,5,0,0
3,5.0,2,0,9,2,5,2,1
3,5.0,3,0,3,5,5,3,1
3,5.0,3,0,2,0,4,0,0
3,5.0,3,0,12,4,3,0,0
2,8.5,9,0,4,2,5,1,1
3,5.0,3,0,4,0,5,2,1
3,5.0,3,0,0,8,3,0,0
3,4.666666666666667,3,0,3,2,3,0,0
2,5.5,3,0,0,6,3,0,0
2,5.5,2,0,12,0,5,1,1
2,6.0,2,0,5,6,3,0,0
3,4.666666666666667,3,0,4,4,5,3,1
3,4.666666666666667,2,0,0,7,5,3,1
2,5.0,1,0,5,3,5,0,0
1,3.0,0,1,4,1,1,0,0
1,4.0,0,0,9,2,5,1,1
1,4.0,0,0,9,7,3,0,0
3,5.333333333333333,3,0,9,2,1,0,0
3,5.333333333333333,3,0,9,2,3,1,0
3,5.666666666666668,3,0,10,3,4,0,0
3,5.666666666666668,3,0,9,3,5,2,1
3,5.333333333333333,3,0,7,0,3,0,0
2,5.0,1,0,11,3,4,1,1
2,5.0,1,0,4,4,2,1,1
2,5.0,2,1,12,3,3,1,1
2,5.5,2,0,3,2,5,2,1
2,5.0,2,1,8,3,5,0,0
4,4.75,9,0,6,4,5,3,1
4,4.75,9,0,1,3,5,4,1
4,4.75,9,0,11,3,5,4,1
4,4.5,9,1,4,1,3,0,0
4,4.5,9,0,0,8,5,2,1
4,4.5,9,0,9,6,5,4,1
2,6.5,1,0,7,3,5,2,1
2,6.5,1,0,2,0,4,0,0
3,4.333333333333333,2,0,9,0,5,1,0
3,4.333333333333333,2,0,4,4,4,1,0
3,4.333333333333333,3,0,10,2,5,3,1
1,4.0,0,0,9,3,5,1,1
1,4.0,0,0,10,3,5,1,1
2,3.5,1,1,9,0,5,0,0
3,3.333333333333333,2,0,12,2,5,2,1
4,4.75,9,0,10,8,5,3,1
4,4.75,9,0,9,2,5,3,1
4,4.75,9,0,0,2,5,4,1
2,3.0,2,0,4,2,5,2,1
2,3.0,2,0,3,1,5,2,1
2,3.0,2,0,5,0,5,1,1
2,3.0,2,0,9,3,5,1,1
2,4.0,0,0,8,0,5,2,1
2,4.0,0,0,0,3,4,0,0
2,4.0,0,0,12,3,5,0,0
2,4.0,0,0,12,0,3,1,1
3,3.333333333333333,2,0,5,3,5,3,1
4,5.5,10,0,4,2,5,4,1
4,5.0,9,0,0,6,5,1,0
4,5.0,9,0,4,5,5,3,1
4,4.75,10,0,11,3,2,0,0
4,4.75,10,0,8,9,5,2,1
4,4.75,10,0,0,2,5,4,1
4,4.5,10,0,4,1,5,0,0
4,4.5,10,0,11,3,3,0,0
2,1.5,1,1,6,3,4,0,0
2,1.5,1,1,5,2,3,0,0
2,2.0,0,0,5,2,5,1,1
2,1.5,1,0,7,5,3,0,0
2,2.0,0,0,8,0,3,0,0
2,2.0,0,0,9,2,5,0,0
2,1.5,1,1,6,0,1,0,0
2,2.5,1,0,10,9,5,1,1
2,2.0,2,0,10,2,5,2,1
2,1.5,1,0,7,0,5,2,1
3,6.333333333333332,4,0,5,0,5,2,1
3,6.666666666666668,4,1,6,3,5,2,1
3,6.333333333333332,4,0,7,0,5,3,1
3,6.333333333333332,4,0,4,4,1,0,0
4,8.0,8,0,9,0,3,1,0
4,7.5,7,0,5,9,4,0,0
4,7.5,7,0,1,2,5,4,1
4,7.25,7,1,1,9,5,2,1
3,5.333333333333333,3,0,8,4,5,2,1
1,4.0,0,0,0,7,2,0,0
1,4.0,0,0,5,0,5,1,1
3,5.333333333333333,3,0,1,8,4,0,0
3,5.333333333333333,3,0,12,3,5,3,1
3,5.0,4,0,8,0,5,3,1
3,5.333333333333333,3,0,9,2,2,0,0
3,5.333333333333333,3,0,5,0,5,3,1
3,4.333333333333333,3,0,9,0,4,0,0
3,4.333333333333333,3,0,5,0,4,0,0
3,4.333333333333333,3,0,9,2,5,3,1
2,4.5,3,0,4,3,1,0,0
2,4.5,3,0,7,5,4,1,1
2,4.5,3,0,9,0,5,0,0
2,4.5,3,0,9,8,5,0,0
2,4.5,3,0,7,2,5,1,1
2,4.5,3,0,8,1,0,0,0
2,4.5,3,0,5,2,5,2,1
2,4.5,3,0,1,9,1,0,0
2,4.5,3,1,0,9,5,2,1
2,4.5,3,1,1,3,2,0,0
3,4.333333333333333,3,0,2,6,5,3,1
3,4.333333333333333,3,0,7,9,3,0,0
2,5.0,2,0,9,0,5,2,1
2,5.0,2,0,11,6,4,0,0
2,4.5,3,0,0,7,5,1,1
4,5.75,8,0,1,0,5,1,0
4,6.0,9,0,9,6,5,2,1
3,3.6666666666666665,1,0,0,8,5,3,1
2,7.5,7,0,1,4,4,1,1
2,7.5,7,0,10,7,0,0,0
2,2.0,2,0,8,4,5,1,1
